Issue Type,Summary,Description,Labels,Priority,Epic Name,Epic Link,Parent
Epic,WS1 — Islamic Finance Products,Epic for WS1 — Islamic Finance Products. Priority: Critical.,ws1-islamic-finance;middle-east-compliance,Critical,WS1 — Islamic Finance Products,,
Story,[REQ-IF-001] Murabaha (cost-plus) financing with configurable markup rates,"System shall support Murabaha (cost-plus) financing with configurable markup rates. The bank purchases an asset and resells it to the customer at a disclosed profit margin; payment may be deferred or in installments.

**Acceptance Criteria:** Given a Murabaha financing request with asset cost X and markup rate R%, the system calculates total price = X * (1 + R/100) and generates an installment schedule. The profit amount is disclosed to the customer before contract signing.

**Linked Test Cases:** TC-IF-001, TC-IF-007",ws1-islamic-finance;middle-east-compliance,Critical,,WS1 — Islamic Finance Products,
Sub-task,[TC-IF-001] Murabaha markup calculation,"**Type:** unit

**Preconditions:** IslamicFinanceCalculationService instantiated. Asset cost = 100,000 AED, markup = 15%.

**Steps:**
1. Call calculateMurabaha(100000, 15.0, 36)
2. Verify total price = 115,000
3. Verify monthly installment

**Expected Result:** Total price = 115,000 AED. Monthly installment = 3,194.44 AED.",ws1-islamic-finance;test-unit,,,,[REQ-IF-001] Murabaha (cost-plus) financing with configurable markup rates
Sub-task,[TC-IF-007] Islamic loan application E2E with SSB approval,"**Type:** integration

**Preconditions:** KYC customer, Murabaha product, SSB reviewer.

**Steps:**
1. Submit Murabaha application
2. Verify PENDING_SSB_APPROVAL
3. SSB approves
4. Verify APPROVED

**Expected Result:** Loan approved through SSB workflow with audit trail.",ws1-islamic-finance;test-integration,,,,[REQ-IF-001] Murabaha (cost-plus) financing with configurable markup rates
Story,[REQ-IF-002] Ijara (leasing) with rental schedule generation,"System shall support Ijara (leasing) with rental schedule generation. The bank purchases and leases an asset to the customer; ownership may transfer at end of lease.

**Acceptance Criteria:** Given an Ijara lease request, the system generates a rental schedule with monthly payments for the lease term.

**Linked Test Cases:** TC-IF-003",ws1-islamic-finance;middle-east-compliance,Critical,,WS1 — Islamic Finance Products,
Sub-task,[TC-IF-003] Ijara rental schedule generation,"**Type:** unit

**Preconditions:** Asset = 500K AED, 60 months, 6% rate.

**Steps:**
1. Call calculateIjara(500000, 6.0, 60)
2. Verify 60 monthly payments
3. Verify amount

**Expected Result:** 60 monthly payments of 2,500 AED.",ws1-islamic-finance;test-unit,,,,[REQ-IF-002] Ijara (leasing) with rental schedule generation
Story,[REQ-IF-003] Diminishing Musharaka for home financing with equity split tracking,"System shall support Diminishing Musharaka for home financing with equity split tracking. The bank and customer co-own the property; the customer gradually buys out the bank's share.

**Acceptance Criteria:** Given a Diminishing Musharaka contract with initial equity split, the system tracks equity reduction per payment period and recalculates rental payments.

**Linked Test Cases:** TC-IF-002",ws1-islamic-finance;middle-east-compliance,Critical,,WS1 — Islamic Finance Products,
Sub-task,[TC-IF-002] Diminishing Musharaka equity reduction over time,"**Type:** unit

**Preconditions:** Property = 1M AED, bank 80%, customer 20%, 20yr term.

**Steps:**
1. Call calculateMusharaka(1000000, 80.0, 240)
2. Verify equity after 1, 120, 240 payments

**Expected Result:** Equity reduces linearly. After 240 payments: customer 100%.",ws1-islamic-finance;test-unit,,,,[REQ-IF-003] Diminishing Musharaka for home financing with equity split tracking
Story,[REQ-IF-004] Mudarabah profit-sharing investment accounts with configurable profit ratios,"System shall support Mudarabah profit-sharing investment accounts with configurable profit ratios between the bank (Mudarib) and the customer (Rabb-ul-Maal).

**Acceptance Criteria:** Given a Mudarabah investment with a profit-sharing ratio, the system distributes realized profits according to the agreed ratio.

**Linked Test Cases:** TC-IF-004, TC-IF-008",ws1-islamic-finance;middle-east-compliance,Critical,,WS1 — Islamic Finance Products,
Sub-task,[TC-IF-004] Mudarabah profit split by agreed ratio,"**Type:** unit

**Preconditions:** Profit = 30K AED, ratio 60/40.

**Steps:**
1. Call calculateMudarabahProfit(30000, 60.0)
2. Verify split

**Expected Result:** Customer: 18K, Bank: 12K.",ws1-islamic-finance;test-unit,,,,[REQ-IF-004] Mudarabah profit-sharing investment accounts with configurable profit ratios
